state,hour_utc,weekday,spread_bucket,n,best_pf,sl_mult,tp_mult,step_pips,lock_pips,max_hold_sec,n_trades,pf_h180,pf_h300,pf_h600,pf_h900,tr_h180,tr_h300,tr_h600,tr_h900,error
TRENDBURST,8,2,high,1922,1.299779206720637,3.0,1.0,0.4,0.5,900,641,1.299779206720637,1.299779206720637,1.299779206720637,1.299779206720637,641,641,641,641,
SQUEEZE,20,2,mid,841,1.2996871101862306,3.0,1.0,0.4,0.5,900,280,1.2996871101862306,1.2996871101862306,1.2996871101862306,1.2996871101862306,280,280,280,280,
SQUEEZE,4,1,mid,631,1.2993903247010992,3.0,1.0,0.4,0.5,900,210,1.2993903247010992,1.2993903247010992,1.2993903247010992,1.2993903247010992,210,210,210,210,
BREAKOUT,19,4,xhigh,341,1.2978951886539796,3.0,1.0,0.4,0.5,900,114,1.2978951886539796,1.2978951886539796,1.2978951886539796,1.2978951886539796,114,114,114,114,
BREAKOUT,9,2,high,6713,1.2910432392062872,3.0,1.0,0.4,0.5,900,2238,1.2910432392062872,1.2910432392062872,1.2910432392062872,1.2910432392062872,2238,2238,2238,2238,
SQUEEZE,20,0,high,409,1.28788658888978,3.0,1.0,0.4,0.5,900,136,1.28788658888978,1.28788658888978,1.28788658888978,1.28788658888978,136,136,136,136,
TRENDBURST,2,4,low,6641,1.2850211069669846,3.0,1.0,0.4,0.5,900,2214,1.2850211069669846,1.2850211069669846,1.2850211069669846,1.2850211069669846,2214,2214,2214,2214,
TRENDBURST,20,1,xhigh,342,1.2849303223403115,3.0,1.0,0.4,0.5,900,114,1.2849303223403115,1.2849303223403115,1.2849303223403115,1.2849303223403115,114,114,114,114,
TRENDBURST,19,4,high,2441,1.2844558350220527,3.0,1.0,0.4,0.5,900,814,1.2844558350220527,1.2844558350220527,1.2844558350220527,1.2844558350220527,814,814,814,814,
SQUEEZE,16,4,mid,188,1.284440725235371,3.0,1.0,0.4,0.5,900,63,1.284440725235371,1.284440725235371,1.284440725235371,1.284440725235371,63,63,63,63,
NEUTRAL,10,0,mid,7349,1.2826745158803181,3.0,1.0,0.4,0.5,900,2450,1.2826745158803181,1.2826745158803181,1.2826745158803181,1.2826745158803181,2450,2450,2450,2450,
NEUTRAL,14,3,mid,6796,1.2803034880513353,3.0,1.0,0.4,0.5,900,2265,1.2803034880513353,1.2803034880513353,1.2803034880513353,1.2803034880513353,2265,2265,2265,2265,
TRENDBURST,21,1,low,1931,1.2794623700841685,3.0,1.0,0.4,0.5,900,644,1.2794623700841685,1.2794623700841685,1.2794623700841685,1.2794623700841685,644,644,644,644,
BREAKOUT,9,0,high,6664,1.2788657038001499,3.0,1.0,0.4,0.5,900,2221,1.2788657038001499,1.2788657038001499,1.2788657038001499,1.2788657038001499,2221,2221,2221,2221,
NEUTRAL,19,2,xhigh,580,1.2751232106245314,3.0,1.0,0.4,0.5,900,193,1.2751232106245314,1.2751232106245314,1.2751232106245314,1.2751232106245314,193,193,193,193,
TRENDBURST,6,0,high,2350,1.274985013302044,3.0,1.0,0.4,0.5,900,783,1.274985013302044,1.274985013302044,1.274985013302044,1.274985013302044,783,783,783,783,
TRENDBURST,19,1,mid,1187,1.2734031211378136,3.0,1.0,0.4,0.5,900,396,1.2734031211378136,1.2734031211378136,1.2734031211378136,1.2734031211378136,396,396,396,396,
TRENDBURST,21,2,low,1989,1.2727867563271504,3.0,1.0,0.4,0.5,900,663,1.2727867563271504,1.2727867563271504,1.2727867563271504,1.2727867563271504,663,663,663,663,
SQUEEZE,20,4,high,496,1.2705428512186143,3.0,1.0,0.4,0.5,900,165,1.2705428512186143,1.2705428512186143,1.2705428512186143,1.2705428512186143,165,165,165,165,
NEUTRAL,1,1,mid,4264,1.2701213369225604,3.0,1.0,0.4,0.5,900,1421,1.2701213369225604,1.2701213369225604,1.2701213369225604,1.2701213369225604,1421,1421,1421,1421,
SQUEEZE,20,2,high,254,1.269712711916796,3.0,1.0,0.4,0.5,900,85,1.269712711916796,1.269712711916796,1.269712711916796,1.269712711916796,85,85,85,85,
BREAKOUT,23,0,xhigh,674,1.2649478844980802,3.0,1.0,0.4,0.5,900,225,1.2649478844980802,1.2649478844980802,1.2649478844980802,1.2649478844980802,225,225,225,225,
NEUTRAL,16,2,high,12753,1.26152916522574,3.0,1.0,0.4,0.5,900,4251,1.26152916522574,1.26152916522574,1.26152916522574,1.26152916522574,4251,4251,4251,4251,
BREAKOUT,21,6,mid,585,1.2598301303144173,3.0,1.0,0.4,0.5,900,195,1.2598301303144173,1.2598301303144173,1.2598301303144173,1.2598301303144173,195,195,195,195,
SQUEEZE,8,3,low,644,1.2568641585242937,3.0,1.0,0.4,0.5,900,215,1.2568641585242937,1.2568641585242937,1.2568641585242937,1.2568641585242937,215,215,215,215,
TRENDBURST,4,0,mid,1379,1.255333201458333,3.0,1.0,0.4,0.5,900,460,1.255333201458333,1.255333201458333,1.255333201458333,1.255333201458333,460,460,460,460,
SQUEEZE,6,1,low,2369,1.2548048314914435,3.0,1.0,0.4,0.5,900,790,1.2548048314914435,1.2548048314914435,1.2548048314914435,1.2548048314914435,790,790,790,790,
TRENDBURST,0,3,xhigh,201,1.2540237949563737,3.0,1.0,0.4,0.5,900,67,1.2540237949563737,1.2540237949563737,1.2540237949563737,1.2540237949563737,67,67,67,67,
BREAKOUT,6,1,high,7646,1.2492428121952142,3.0,1.0,0.4,0.5,900,2549,1.2492428121952142,1.2492428121952142,1.2492428121952142,1.2492428121952142,2549,2549,2549,2549,
SQUEEZE,21,6,high,1076,1.2483590383709757,3.0,1.0,0.4,0.5,900,359,1.2483590383709757,1.2483590383709757,1.2483590383709757,1.2483590383709757,359,359,359,359,
BREAKOUT,5,3,mid,3088,1.248145062384826,3.0,1.0,0.4,0.5,900,1029,1.248145062384826,1.248145062384826,1.248145062384826,1.248145062384826,1029,1029,1029,1029,
