state,hour_utc,weekday,spread_bucket,n,best_pf,sl_mult,tp_mult,step_pips,lock_pips,max_hold_sec,n_trades,pf_h180,pf_h300,pf_h600,pf_h900,tr_h180,tr_h300,tr_h600,tr_h900,error
SQUEEZE,5,0,mid,547,1.3267317799242868,3.0,1.0,0.4,0.5,900,182,1.3267317799242868,1.3267317799242868,1.3267317799242868,1.3267317799242868,182,182,182,182,
BREAKOUT,4,0,mid,2561,1.322931516711335,3.0,1.0,0.4,0.5,900,854,1.322931516711335,1.322931516711335,1.322931516711335,1.322931516711335,854,854,854,854,
NEUTRAL,23,6,low,12829,1.32266191986998,3.0,1.0,0.4,0.5,900,4276,1.32266191986998,1.32266191986998,1.32266191986998,1.32266191986998,4276,4276,4276,4276,
TRENDBURST,5,0,mid,1473,1.32132471806607,3.0,1.0,0.4,0.5,900,491,1.32132471806607,1.32132471806607,1.32132471806607,1.32132471806607,491,491,491,491,
SQUEEZE,19,1,mid,288,1.3207437298273232,3.0,1.0,0.4,0.5,900,96,1.3207437298273232,1.3207437298273232,1.3207437298273232,1.3207437298273232,96,96,96,96,
TRENDBURST,16,0,mid,1380,1.3192456485029935,3.0,1.0,0.4,0.5,900,460,1.3192456485029935,1.3192456485029935,1.3192456485029935,1.3192456485029935,460,460,460,460,
TRENDBURST,22,3,high,3043,1.318266157542129,3.0,1.0,0.4,0.5,900,1014,1.318266157542129,1.318266157542129,1.318266157542129,1.318266157542129,1014,1014,1014,1014,
TRENDBURST,15,0,high,1810,1.317361591940261,3.0,1.0,0.4,0.5,900,603,1.317361591940261,1.317361591940261,1.317361591940261,1.317361591940261,603,603,603,603,
NEUTRAL,2,3,mid,3101,1.316161869515667,3.0,1.0,0.4,0.5,900,1034,1.316161869515667,1.316161869515667,1.316161869515667,1.316161869515667,1034,1034,1034,1034,
TRENDBURST,10,3,high,1668,1.3155971011759136,3.0,1.0,0.4,0.5,900,556,1.3155971011759136,1.3155971011759136,1.3155971011759136,1.3155971011759136,556,556,556,556,
BREAKOUT,1,2,xhigh,664,1.3152699883114962,3.0,1.0,0.4,0.5,900,221,1.3152699883114962,1.3152699883114962,1.3152699883114962,1.3152699883114962,221,221,221,221,
SQUEEZE,18,4,mid,335,1.3119295127211226,3.0,1.0,0.4,0.5,900,112,1.3119295127211226,1.3119295127211226,1.3119295127211226,1.3119295127211226,112,112,112,112,
TRENDBURST,15,3,mid,1395,1.3110012424387598,3.0,1.0,0.4,0.5,900,465,1.3110012424387598,1.3110012424387598,1.3110012424387598,1.3110012424387598,465,465,465,465,
SQUEEZE,1,2,high,231,1.310803626145227,3.0,1.0,0.4,0.5,900,77,1.310803626145227,1.310803626145227,1.310803626145227,1.310803626145227,77,77,77,77,
TRENDBURST,12,2,high,1799,1.3092584946762982,3.0,1.0,0.4,0.5,900,600,1.3092584946762982,1.3092584946762982,1.3092584946762982,1.3092584946762982,600,600,600,600,
BREAKOUT,4,1,low,6274,1.3092256243622988,3.0,1.0,0.4,0.5,900,2091,1.3092256243622988,1.3092256243622988,1.3092256243622988,1.3092256243622988,2091,2091,2091,2091,
TRENDBURST,16,4,mid,1318,1.3088381764082533,3.0,1.0,0.4,0.5,900,439,1.3088381764082533,1.3088381764082533,1.3088381764082533,1.3088381764082533,439,439,439,439,
TRENDBURST,12,1,high,1730,1.3069090528511433,3.0,1.0,0.4,0.5,900,577,1.3069090528511433,1.3069090528511433,1.3069090528511433,1.3069090528511433,577,577,577,577,
BREAKOUT,5,4,mid,2919,1.306463885876901,3.0,1.0,0.4,0.5,900,973,1.306463885876901,1.306463885876901,1.306463885876901,1.306463885876901,973,973,973,973,
NEUTRAL,6,1,mid,5125,1.3036218748375694,3.0,1.0,0.4,0.5,900,1708,1.3036218748375694,1.3036218748375694,1.3036218748375694,1.3036218748375694,1708,1708,1708,1708,
TRENDBURST,22,0,mid,2047,1.302915998838689,3.0,1.0,0.4,0.5,900,682,1.302915998838689,1.302915998838689,1.302915998838689,1.302915998838689,682,682,682,682,
BREAKOUT,2,2,mid,2654,1.3026528395338075,3.0,1.0,0.4,0.5,900,885,1.3026528395338075,1.3026528395338075,1.3026528395338075,1.3026528395338075,885,885,885,885,
SQUEEZE,19,4,mid,400,1.3018622579717714,3.0,1.0,0.4,0.5,900,133,1.3018622579717714,1.3018622579717714,1.3018622579717714,1.3018622579717714,133,133,133,133,
DEAD,2,1,low,435,1.3011198518071851,3.0,1.0,0.4,0.5,900,145,1.3011198518071851,1.3011198518071851,1.3011198518071851,1.3011198518071851,145,145,145,145,
SQUEEZE,16,1,low,1362,1.3008339721088145,3.0,1.0,0.4,0.5,900,454,1.3008339721088145,1.3008339721088145,1.3008339721088145,1.3008339721088145,454,454,454,454,
